 Year AMM_sst
 1950 0.846
 1951 1.338
 1952 2.398
 1953 1.258
 1954 -0.442
 1955 2.874
 1956 -0.548
 1957 0.714
 1958 4.366
 1959 -0.522
 1960 1.192
 1961 0.56
 1962 1.338
 1963 -1.966
 1964 0.46
 1965 -2.284
 1966 0.414
 1967 0.054
 1968 -1.64
 1969 0.652
 1970 0.966
 1971 -2.01
 1972 -4.648
 1973 -2.22
 1974 -3.962
 1975 -1.42
 1976 0.336
 1977 -1.396
 1978 -0.314
 1979 0.31
 1980 1.602
 1981 0.608
 1982 -1.46
 1983 -0.116
 1984 -3.192
 1985 -0.45
 1986 -2.832
 1987 0.86
 1988 0.768
 1989 1.246
 1990 1.228
 1991 -2.446
 1992 0.164
 1993 -2.362
 1994 -2.234
 1995 2.634
 1996 -0.346
 1997 -0.032
 1998 1.924
 1999 0.712
 2000 -0.74
 2001 1.284
 2002 -1.914
 2003 1.518
 2004 2.76
 2005 4.12
 2006 1.302
 2007 0.182
 2008 0.796
 2009 -0.03
 2010 4.646
 2011 1.836
 2012 2.346
 2013 2.124
 2014 -0.356
 2015 0.352
 2016 1.122
 2017 2.246
 2018 -2.47
 2019 0.684
 2020 1.178
 2021 -1.48
 2022 0.524
