 Year TNA_sst
 1950 -0.142
 1951 0.204
 1952 0.248
 1953 0.182
 1954 -0.166
 1955 0.13
 1956 -0.254
 1957 0.114
 1958 0.348
 1959 -0.228
 1960 0.034
 1961 -0.026
 1962 0.136
 1963 0.068
 1964 -0.14
 1965 -0.18
 1966 0.124
 1967 -0.198
 1968 -0.112
 1969 0.308
 1970 -0.008
 1971 -0.4
 1972 -0.32
 1973 -0.14
 1974 -0.492
 1975 -0.278
 1976 -0.114
 1977 -0.17
 1978 -0.186
 1979 0.196
 1980 0.242
 1981 0.12
 1982 -0.268
 1983 0.052
 1984 -0.346
 1985 -0.146
 1986 -0.308
 1987 0.502
 1988 0.1
 1989 0.13
 1990 0.23
 1991 -0.272
 1992 -0.124
 1993 -0.092
 1994 -0.286
 1995 0.484
 1996 0.1
 1997 0.378
 1998 0.578
 1999 0.258
 2000 0.004
 2001 0.374
 2002 0.038
 2003 0.526
 2004 0.524
 2005 0.754
 2006 0.568
 2007 0.122
 2008 0.458
 2009 0.378
 2010 0.922
 2011 0.462
 2012 0.526
 2013 0.498
 2014 0.278
 2015 0.434
 2016 0.438
 2017 0.568
 2018 -0.012
 2019 0.42
 2020 0.618
 2021 0.33
 2022 0.478
