,Year,Annual_Cyclones,Sahel_Annual,AMO_Annual,ENSO_Annual,TEMP_Annual,precip,Conus_temp,NE_temp,nao_sst,nta_index,TNA_sst,AMM_sst,Nina_index,TSA_index,NAO_Jones,rh_value,NJ_precip_x,NJ_precip_y,Cyclone
0,1950,1,6.952755905511811,-0.0237499999999999,-1.3,79.1,1.22,-1.94,-1.8,0.13,-0.45,-0.142,0.846,1.04,-0.356,0.285,50.404,-0.24,8.18,1
1,1951,2,2.9960629921259843,0.1873333333333333,-0.325,80.04,0.14,-0.3,-0.4,0.198,-0.126,0.204,1.338,0.824,-0.048,0.4,41.816,-3.53,4.89,1
2,1952,1,6.25984251968504,0.2785833333333333,0.375,79.24,-1.34,0.75,1.6,-0.262,-0.162,0.248,2.398,0.034,-0.026,-1.11,47.056,2.51,10.93,1
3,1953,2,5.590551181102363,0.2474166666666667,0.575,78.62,-1.44,0.62,0.3,0.512,-0.066,0.182,1.258,0.774,-0.032,1.2275,44.51,-3.56,4.86,0
4,1954,1,6.6889763779527565,0.02575,0.225,79.44000000000001,-1.4,1.18,-1.3,-0.44,-0.502,-0.166,-0.442,-0.73,-0.402,1.2175,44.732,3.44,11.86,0
5,1955,0,5.429133858267717,0.1749166666666667,-0.7,78.56,-0.11,1.21,2.4,0.32,-0.154,0.13,2.874,-0.932,-0.372,-0.5775,46.343,5.75,14.17,0
6,1956,1,3.125984251968504,-0.0371666666666666,-0.75,78.30000000000001,-1.45,-0.24,-2.4,-0.0700000000000001,-0.542,-0.254,-0.548,-0.502,-0.302,-0.52,47.452,-1.44,6.98,0
7,1957,0,5.240157480314961,0.0221666666666666,0.25,78.5,-0.56,-0.15,-0.8,-0.386,-0.252,0.114,0.714,1.28,-0.272,-0.0675,41.142,-3.21,5.21,0
8,1958,1,6.153543307086615,0.1951666666666666,1.425,79.20000000000002,1.2,0.25,-0.3,-0.828,0.088,0.348,4.366,0.494,-0.666,0.55,45.643,1.57,9.99,0
9,1959,1,3.5944881889763782,0.0334166666666666,0.5,79.55999999999999,0.63,0.31,2.7,0.782,-0.478,-0.228,-0.522,-0.13,-0.162,0.0025,48.563,-1.34,7.08,0
10,1960,1,2.9803149606299217,0.2156666666666667,-0.075,79.26,-0.17,0.66,-0.2,-0.458,-0.23,0.034,1.192,0.174,-0.064,-1.125,46.562,3.94,12.36,0
11,1961,0,4.011811023622048,0.0795,0.025,78.32000000000001,0.79,-0.41,2.2,0.854,-0.342,-0.026,0.56,-0.056,-0.098,1.755,48.17,-1.87,6.55,0
12,1962,1,3.515748031496063,0.0515833333333333,-0.225,79.16,-0.15,-0.73,-2.4,-0.232,-0.16,0.136,1.338,-0.128,-0.018,-0.035,41.911,0.63,9.05,0
13,1963,1,1.594488188976378,-0.0165833333333333,-0.025,78.72,-0.67,0.45,-2.1,0.32,-0.29,0.068,-1.966,1.006,0.438,0.53,38.018,-0.9,7.52,1
14,1964,3,5.590551181102363,-0.1169999999999999,0.375,78.26,0.13,-0.5,-1.3,0.558,-0.396,-0.14,0.46,-0.68,-0.404,0.2775,40.195,-4.25,4.17,2
15,1965,1,4.244094488188977,-0.1815,-0.1999999999999999,78.03999999999999,1.18,-1.72,-0.7,0.566,-0.492,-0.18,-2.284,1.484,-0.194,-0.5975,33.108,-2.5,5.92,0
16,1966,0,1.921259842519685,-0.0180833333333333,1.075,78.36000000000001,0.08,-0.04,-0.5,-0.238,-0.152,0.124,0.414,0.09,0.144,-1.845,37.75,1.46,9.88,0
17,1967,1,3.9488188976377954,-0.1208333333333333,-0.4499999999999999,77.32000000000001,0.01,-0.93,-0.7,1.106,-0.462,-0.198,0.054,-0.158,-0.518,0.6725,40.194,2.4,10.82,0
18,1968,4,-0.8110236220472442,-0.1903333333333333,-0.575,78.42,0.07,-1.07,0.8,-0.964,-0.512,-0.112,-1.64,0.478,0.25,-0.72,35.707,-3.82,4.6,1
19,1969,3,2.720472440944882,-0.0142499999999999,0.975,79.44,-0.2,0.76,0.1,0.574,0.142,0.308,0.652,0.59,-0.068,0.79,34.236,-0.49,7.93,0
20,1970,0,0.8385826771653544,-0.1271666666666666,0.325,79.38,-0.05,0.45,1.2,0.314,-0.162,-0.008,0.966,-0.64,-0.258,0.135,39.366,-3.34,5.08,0
21,1971,1,0.1023622047244094,-0.3368333333333333,-1.175,79.03999999999999,0.7,-0.62,0.6,0.506,-0.59,-0.4,-2.01,-0.796,-0.16,0.03,34.812,7.77,16.19,0
22,1972,0,-3.1496062992125986,-0.3792499999999999,-0.15,78.67999999999999,0.42,-0.76,-0.1,0.94,-0.536,-0.32,-4.648,1.368,0.224,-1.3325,31.39,-4.52,3.9,0
23,1973,0,-2.192913385826772,-0.2421666666666666,0.85,79.17999999999999,0.59,-0.11,1.5,0.022,-0.3,-0.14,-2.22,-1.284,0.684,-0.3375,38.059,-1.83,6.59,0
24,1974,2,2.0314960629921264,-0.4474999999999999,-1.4,77.82,0.4,-1.29,-0.6,0.096,-0.75,-0.492,-3.962,-0.538,0.336,0.4075,34.908,3.33,11.75,0
25,1975,2,2.9133858267716537,-0.3261666666666667,-0.625,78.79999999999998,0.58,-0.87,-0.1,0.432,-0.656,-0.278,-1.42,-1.222,-0.05,0.7125,34.286,3.33,11.75,0
26,1976,2,-0.3031496062992126,-0.3916666666666666,-1.0,77.2,-0.7,-0.94,-1.7,0.494,-0.398,-0.114,0.336,0.382,-0.484,-1.0125,32.616,-1.08,7.34,0
27,1977,0,-1.374015748031496,-0.2175,0.4499999999999999,78.72,1.44,0.52,0.2,0.082,-0.444,-0.17,-1.396,0.482,-0.056,-0.1175,36.105,1.48,9.9,0
28,1978,0,1.468503937007874,-0.2083333333333333,0.25,78.98,0.07,0.29,-0.5,0.9,-0.39,-0.186,-0.314,-0.356,-0.296,0.425,36.406,0.71,9.13,0
29,1979,2,0.1653543307086614,-0.1393333333333333,0.15,78.96,0.92,-0.13,-0.2,1.04,-0.096,0.196,0.31,0.208,0.17,0.2125,37.288,3.59,12.01,1
