,Cyclone,Year
1852,0,1852
1853,1,1853
1854,1,1854
1855,0,1855
1856,0,1856
1857,0,1857
1858,0,1858
1859,1,1859
1860,0,1860
1861,0,1861
1862,0,1862
1863,0,1863
1864,0,1864
1865,1,1865
1866,0,1866
1867,0,1867
1868,0,1868
1869,0,1869
1870,0,1870
1871,2,1871
1872,0,1872
1873,1,1873
1874,0,1874
1875,0,1875
1876,1,1876
1877,0,1877
1878,1,1878
1879,0,1879
1880,1,1880
1881,1,1881
1882,0,1882
1883,0,1883
1884,0,1884
1885,1,1885
1886,0,1886
1887,1,1887
1888,0,1888
1889,0,1889
1890,0,1890
1891,0,1891
1892,0,1892
1893,2,1893
1894,0,1894
1895,0,1895
1896,0,1896
1897,0,1897
1898,0,1898
1899,1,1899
1900,0,1900
1901,0,1901
1902,0,1902
1903,0,1903
1904,0,1904
1905,0,1905
1906,0,1906
1907,0,1907
1908,0,1908
1909,0,1909
1910,0,1910
1911,0,1911
1912,0,1912
1913,0,1913
1914,0,1914
1915,1,1915
1916,0,1916
1917,0,1917
1918,0,1918
1919,0,1919
1920,0,1920
1921,1,1921
1922,0,1922
1923,0,1923
1924,0,1924
1925,0,1925
1926,1,1926
1927,0,1927
1928,1,1928
1929,0,1929
1930,0,1930
1931,0,1931
1932,0,1932
1933,0,1933
1934,0,1934
1935,0,1935
1936,0,1936
1937,0,1937
1938,0,1938
1939,0,1939
1940,0,1940
1941,0,1941
1942,0,1942
1943,0,1943
1944,0,1944
1945,0,1945
1946,0,1946
1947,0,1947
1948,1,1948
1949,0,1949
1950,1,1950
1951,1,1951
1952,1,1952
1953,0,1953
1954,0,1954
1955,0,1955
1956,0,1956
1957,0,1957
1958,0,1958
1959,0,1959
1960,0,1960
1961,0,1961
1962,0,1962
1963,1,1963
1964,2,1964
1965,0,1965
1966,0,1966
1967,0,1967
1968,1,1968
1969,0,1969
1970,0,1970
1971,0,1971
1972,0,1972
1973,0,1973
1974,0,1974
1975,0,1975
1976,0,1976
1977,0,1977
1978,0,1978
1979,1,1979
1980,0,1980
1981,0,1981
1982,0,1982
1983,0,1983
1984,0,1984
1985,0,1985
1986,0,1986
1987,0,1987
1988,0,1988
1989,0,1989
1990,0,1990
1991,0,1991
1992,0,1992
1993,0,1993
1994,0,1994
1995,1,1995
1996,0,1996
1997,0,1997
1998,0,1998
1999,2,1999
2000,0,2000
2001,0,2001
2002,0,2002
2003,0,2003
2004,0,2004
2005,2,2005
2006,0,2006
2007,0,2007
2008,0,2008
2009,0,2009
2010,0,2010
2011,0,2011
2012,0,2012
2013,0,2013
2014,0,2014
2015,0,2015
2016,1,2016
2017,0,2017
2018,0,2018
2019,1,2019
2020,0,2020
2021,0,2021
2022,2,2022
